wallet_address,txHash,timestamp,amount,fromUser,toUser,counterparty,tokenAmount,mint,fee
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,FghZB8VcwRUiEMPChNfPpPhJ8yamZbQpNz7YtwdZ3a27,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,GMqwf2ct8runQarHgHxkbXgcMBJzwjVoL525ZLCAFLB2,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,4ZcMv77LxMtXMi7nXDCtr4NFhtYBHNxq7DCYYDkczaqT,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,CbhqfzGDAYfL9P9mK6Jy36cJkHeCQj7DTRV7urm9L6nw,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,A3NwnP4Fmjq4DwtMnnsN8WArWRYkeJj5rdH5dDGUEPFu,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,4f4ZX9Qf7Dwa651GxEhf7zDNdmSN5rTuzEX9Kn8EuiFR,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,7toK3UqmCGhzc73NvzueqG4dcR3CGk8Gyqd1u2tuf8XE,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4MqNdh7YeLgZG6UAQC7eyBuch2WE9VhcpfGNJYhHJ74Kqf1R9TYETQM9iSg7dRFYeBRUoWkpYh6W1ScQD4DkUbYM,2025-01-29 16:58:49,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,GpNbukV5nggkJfsEEbKrJaZkdgYcNWCAaD91Mi4MmGQi,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,2E3VUa8AnrQn9Mse8sXcirVuN43EpDrWGL8PtW7HPLjSETwWBGS43VMYkxc8qi1pdyvpRBfRFeFf4znLemrfg1VP,2025-01-29 16:56:36,17.4941,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,EgMLFv3t5nqTcKxKdc97GTL7YZj3Tuh3Srnj3UM5npub,17.4941,cXWNUPtPqgaJ2H5sL2mCVo1McAwdV8F9U7i2EdUpump,0.000014000
